Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Germany,,,,,19110.24566,19348.10522,22356.1537,21291.52289,25912.38256,19411.02748,31099.50797,33484.71031,35603.09449,45265.86558,50817.24984,48727.98742,48075.80902,47187.46299,49087.05102,43567.33734,47786.6054,48330.47121,51779.19353,55388.62801,57514.00052,60064.84259,59792.64443,59360.77387,59106.1633,61619.34995,62479.54795,63317.79203,64061.79374,63235.11482,63784.07243,63142.52695,63277.38145,64955.996,66118.60753,65588.86824,65409.49429,68933.08746,63793.74683,60671.40169,54542.40786,50866.4945,50029.44459,49051.25938,47240.65967,47403.82365,48362.14114,47599.15056,46816.81158,46944.15985,46302.62201,44884.13396,44185.95329,43399.65241,43466.03384,44493.72946,46178.75869,46291.11675,45352.65115,46648.58398,44924.14218,44977.37068,45749.64003,47734.96191,49104.11638,50459.20663,55350.65053,58975.73422,58457.6986,61110.13506,67285.19864,86301.28702
Greece,858.536108,962.375957,1134.190722,1095.369623,1047.265911,1127.747847,1147.081388,1481.412198,1543.392469,1519.874424,1573.617372,1671.615943,1617.036053,1644.330663,1685.877035,1752.258167,1895.420845,2057.327127,2649.039116,3093.558442,3501.776468,3777.894613,3993.325226,4257.16365,4280.884444,5316.614126,6839.287201,7484.628115,7934.680104,8104.781777,7851.246487,6790.500238,8037.668941,8201.42425,7481.341535,7343.45394,7288.315628,6227.832129,6214.143951,6570.885151,6161.015273,6228.926371,5907.674869,6139.377773,5992.505346,6095.739011,6226.114436,6599.099569,7032.22741,7662.970593,8022.680799,8467.469057,8281.018658,8123.172066,6959.262043,7651.335451,8273.742006,8602.395906,8595.567272,9555.512924,10018.56945,7698.857858,6198.590139,5482.389793,5119.472699,5077.746416,5384.849428,5609.273531,5604.794361,5990.865575,5890.72172,6283.634068,8601.919671,9294.465843,7014.878933,7785.631038
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,6269.594889,7401.352434,8384.569391,9384.174253,8524.796781,9350.205623,9211.142818,9482.447725,9782.872845,10072.5867,10385.52729,10906.02313,11201.09529,12388.74055,13787.58553,14119.57727,14654.28257,15725.76562,15447.65216,15634.56099,15431.23207,16288.1876,18305.20676,20316.79133,20283.74914,20261.47757,18865.91899,18807.997,20125.62443,20996.13538,22342.78764,21772.81835,22897.11165,25546.18684,26104.58155,26875.21398,26606.88427,28410.24345,30912.17931,32837.75651,33096.91507,31833.73983,32282.50909,31354.69695,31521.90089,30742.59804,28077.26177,30937.75959,32439.93428,33513.07808,34824.01223,37146.76573,36536.73906,37535.3736,37840.6344,37964.58294,36525.09519,35341.76693,34333.35647,35754.82453,34582.89926,33595.36956,32899.76336,30411.25437,29246.66862,26999.24033,25853.008,29287.23295,30128.77553,30429.84938,29597.90481,36337.30759,37829.30319,37638.82211,36933.18093,37444.04496
Luxembourg,25.55322744,37.33951128,53.57800005,87.00730946,97.5915913,111.8933667,121.7198062,77.8618691,82.69280061,80.26975112,74.99566195,48.82479172,53.5836418,65.00125469,61.96180443,79.94015512,79.38441046,80.09309554,64.99983739,57.56225299,58.82064472,59.75187805,60.74753529,67.41675254,73.94169537,79.80363697,84.75210446,90.98675958,89.14822081,96.97299141,99.83114413,115.9062992,119.9767473,121.1183959,123.8768316,124.5059647,121.1646878,127.4845192,145.9846109,166.534097,152.4728447,158.7209143,175.2510426,182.9324016,166.7215194,183.8894892,179.5012696,185.3189528,200.1580572,214.7651919,217.8674035,222.4132543,278.9853967,248.8860436,263.3378454,276.6319956,279.9142087,274.0356879,284.1571995,212.4874096,210.258178,265.1322893,228.9665699,223.0276955,231.0408129,247.8611431,292.1328938,275.7504984,366.5023236,377.2802524,420.0935843,455.7786657,406.40742,543.3721927,662.4924663,849.4051607
Netherlands,4110.463539,4996.727311,5251.522378,6207.842347,6588.872417,7540.617196,7940.836188,8504.859932,7977.041439,7007.567313,6300.630876,7070.024822,8130.485925,8631.486707,8815.671327,9614.521749,9268.462646,9002.383506,9977.109516,9862.002428,10309.08903,10556.06497,11039.68397,11387.05137,11564.62174,12095.17659,12714.24822,12549.80523,13986.77233,13516.66539,14333.22739,13945.43579,14087.81542,15189.01761,13924.33453,14158.49768,14000.64893,14200.59882,14457.601,14401.5642,14537.75368,14128.7015,13734.96339,13656.98234,12549.7384,12102.40436,11758.82078,11834.31436,11718.1504,11678.97927,12252.58278,11764.21108,12074.08175,12060.93429,12235.1799,12324.01915,12345.70383,12928.66274,13102.9172,12876.46969,13154.3601,12600.5253,12177.12993,11442.43779,10657.80306,10672.63866,10646.82826,11192.50778,11437.13138,12401.87218,13754.46116,14546.00124,15022.00195,14540.67781,16624.82012,22439.23472
Norway,938.2268378,823.6673376,1139.310951,1519.874441,1912.723625,1958.281397,1620.926437,1583.590657,1672.112989,1556.291043,1646.764352,1567.713651,1705.210367,1883.674713,1962.059892,1989.667636,2305.856264,2292.122794,2363.898011,2505.74968,2644.700022,2652.010997,2718.948602,2717.955288,2737.426227,2810.972904,3048.661742,3121.366282,3185.093628,3401.624543,3487.738387,3520.978019,3559.33558,3698.166284,3859.290525,3717.116625,4282.475008,4147.17583,4413.386788,4206.327131,4317.989524,4352.851864,4221.15722,4574.497029,4262.85569,4482.302239,4047.896369,4103.370889,4035.224139,4302.552787,4324.073428,4180.50752,4208.003434,5056.834249,4861.730716,4984.994313,4690.100893,4681.061258,4980.101559,5008.002057,5313.274688,5230.26398,5328.901892,5425.975824,5551.997608,5792.595637,5750.436318,5968.127613,6586.771447,6939.502549,7342.408239,7438.901974,7656.29455,8348.207389,8797.762487,10285.49886
Portugal,633.5385207,681.5543943,707.9616297,773.2667912,894.9585798,940.8503741,1006.545776,999.2084488,1026.250277,1049.373967,1178.021365,1225.538418,1964.726471,2233.38845,2181.490253,2378.006373,2379.410866,2507.10671,3076.998984,3239.263219,3040.555822,3383.36479,3689.910846,3697.334666,3494.48467,4096.804668,2696.356321,2159.556119,1989.448051,2009.489229,2042.251701,2213.923985,2203.986432,2207.440789,2122.42988,1975.174684,1998.371488,2247.363297,2338.81525,2597.124393,2725.934689,2802.365218,2888.621031,2966.164749,2871.470064,2793.420812,3000.024079,2894.062948,2952.063148,2890.970489,3041.086263,3131.740833,3258.350009,3347.283638,3251.975887,3478.737568,3748.384881,3616.706404,3395.279308,3471.12099,3714.309639,3638.433082,3449.797344,3023.206317,3130.891794,2891.726026,3031.551173,3632.582641,3022.441098,3395.186017,3626.141967,3528.144652,3989.581918,3821.499875,4236.152826,4522.613595
Spain,3074.336966,2882.085185,2727.45338,3456.922138,3389.551582,3406.37255,3685.415981,3910.769948,4092.300969,3590.469275,3421.25455,4106.739208,4138.532269,5054.441176,4761.705833,5441.111848,5458.568112,6561.629941,6167.617327,8170.835259,9639.425542,9719.110367,9341.520506,11131.88016,10971.08746,12144.96057,11072.14827,13117.59245,13325.81973,13874.00052,14859.48562,15407.68772,15649.48163,16206.74327,18157.11154,18599.57135,18920.26039,17688.07414,18719.07008,18925.34785,18823.90303,19094.265,18350.92334,17901.70928,17443.41389,17623.4338,17763.32324,17202.47933,17034.42426,17877.06329,19645.58715,20303.51256,20078.1841,18611.22054,18888.66015,19743.84369,19989.6736,20644.34012,21411.12505,21293.38448,20441.33823,20573.92104,18979.54794,19194.69371,16745.77413,16721.1532,17773.82652,16481.02002,18239.58966,18944.55198,19128.26576,19114.45932,20036.93059,21595.62081,23821.20216,23926.44139
Sweden,,,,,,,,,,,,3707.418352,3890.07855,4183.341698,4460.752825,4689.772915,4971.720812,5017.902042,4890.995219,4896.839779,5154.899887,5294.721791,5412.104923,5582.968815,5600.681787,5645.004642,5787.403374,5784.455365,5827.275954,5998.313692,6222.596579,6078.290243,5974.552702,5829.632631,5762.847945,5842.15844,5928.630933,6026.993798,6017.336546,6113.133839,6340.083779,6384.127109,5931.283764,5834.369747,5765.856874,5670.707398,4937.667629,4268.315787,5707.05775,5900.536244,6158.888648,6347.118166,6282.336953,5893.168771,5850.283718,5505.718005,5577.306528,5490.452961,5634.395832,5011.404938,4914.680222,5318.798592,5001.076331,5105.617517,5135.290382,5440.661884,5499.121903,5571.72022,5571.451725,5755.351427,6264.046895,6518.998435,7185.630662,7962.976735,8754.872951,11718.5481
United Kingdom,,35704.8615,42039.70286,53777.98412,59747.70162,56723.21397,54008.6537,53009.53707,51188.48565,49846.43572,49594.40745,50619.85895,50570.86342,51220.09566,52094.80896,53505.88038,53666.06114,53379.6457,54743.85044,53964.06421,50996.53335,52528.46521,52410.85411,55748.85538,55933.92374,55949.15658,58780.36466,57918.93972,55391.16921,57151.93126,58938.48001,62847.69565,61562.21385,67118.11461,70103.10457,73579.82076,74271.16455,73353.88008,72554.04338,69983.81299,70599.94364,70700.52837,71517.18765,66799.13246,63747.87248,61993.9994,58146.4982,57590.61405,55545.43327,55726.98374,55429.98272,56545.99519,58785.54142,62280.26575,66714.64926,67542.47991,68174.00126,68486.7232,70351.30386,73431.25613,74607.79177,73353.79258,70873.88457,68905.82653,66386.66518,65199.67695,62693.34455,62474.78223,62588.92325,63059.9974,65679.54545,66722.81796,67749.78404,68878.27865,75303.38748,77389.95643
Turkey,,,,,1014.184494,1025.735369,1037.254254,960.3573459,892.2678047,866.69326,1031.371934,1137.281986,1278.718649,1361.923071,1399.357748,1500.815658,1572.431548,1575.708824,1697.670099,1898.007181,1840.079393,2041.071125,2338.866833,2458.284513,2606.4326,2922.230229,5110.301554,5369.069506,5169.657717,4733.85613,4200.285142,4353.423707,4911.701053,5369.548643,5080.46393,4938.814379,5239.64644,5887.135674,5622.389413,4952.233125,5730.003365,6923.834384,7117.496241,7486.493181,8277.247894,8092.555731,8313.635646,9304.411812,9697.129136,10160.98294,11219.24237,10857.71932,9953.499545,10590.50521,9848.759047,9152.466222,8821.323306,9233.968782,8903.605265,9031.77515,9664.084937,9493.114515,9574.547478,9809.525509,10074.22322,10147.72911,10442.04708,12242.60172,13140.21268,16678.56858,17729.79055,15070.3788,15333.86475,16429.0333,19577.83192,21884.40873
